label,review
1,﻿更博了，爆照了，帅的呀，就是越来越爱你！生快傻缺[爱你][爱你][爱你]
1,哦，是双子男吗？旅游版组的成分好复杂呢[抱抱] //@玫瑰禁?：欢迎双子男。//@秦洲同：赶紧加上V，要不然走丢了不好找。//@雨齐Daisy：不错呀~ 新同事要加V么…… @伊比利亚火腿
1,哈，南非一孙... //@妹莉十足:回复@共乐壶天:南非第一孙子.........[哈哈][哈哈][哈哈][哈哈] //@共乐壶天:南非第一孙子@独臂老宋 @妹莉十足
1,偶爱土豆[哈哈]
1,挺好玩儿的，过年更充实了。[太开心] //@母其弥雅:初一我?一起吃素吧~?得不要吃稀?，洗澡和睡午?喔~
1,[哈哈]太像了太像了~
1,别客气嘛~[太开心]小狗狗有家了，我就开心了~~[爱你]
1,还在老挝么？佛教国家会让你感到一种难得的心灵安定，这种安定感是弥漫在空气中的，上次在吴哥，和一位僧侣用英文聊佛法，很长见识，当时就想不走了[嘻嘻]
1,[哈哈]//@太空闪光: 南方的同胞联合起来，提案：我要暖气！起床靠毅力，洗澡靠勇气的转！
1,[阳光]梦想经常会变成挑战，而我们正是因为挑战而活。Hi，粉粉们，这一周，你的挑战是什么？[嘻嘻]
1,嗯。//@经典丶私房菜:爱原本就是一种习惯~[爱你]  @教您做睿智女人
1,原来是这个原因！哈哈恭喜～！现在X子中心也联系好了，你可以安心了！[哈哈]FOUR~你懂的～！  //@汤小雯Lareina:祝小媳妇和小小马感情长长久久，婚姻历久弥新！
1,[嘻嘻]继续努力拍更好。
1,//@?璐: 再@我一遍 嘿嘿！计划去日本~工作定了就去！近期去看您[太开心]好！邀几个朋友一起去。
1,[泪]一路顺风~~~别忘了我滴明信片哇~~~要大家签名合体版的~@行者橙子 @穆杉伯男 //@赵小牛618:出发了，兴奋的根本睡不着，大学毕业后已经许久没有体验过单独和朋友一起出来旅行，所以特意改走#致青春#路线，橙子也变成了睡在我上铺的兄弟[嘻嘻]
1,[心]爱，从来没有固定的模式，每一个细微举动都是表达“爱”最好的方式！花间堂，在许多微不足道的动作里，表达满满的爱意！[爱你]
1,不用怀疑，十二月真的是可以有樱花盛开的！不信？来大理南涧县无量山看看！[鼓掌]
1,花样儿花色羊肉馅儿大饺砸…………即将出锅儿[鼓掌]
1,[偷笑][哈哈][哈哈] //@rayka:我以为，梯子给p掉了～～～ //@褚小波:他怎么上去的～ //@rayka: 哈哈哈，这个笑疯了～～
1,我觉得浩浩可以应征这个品牌的小小代言人[爱你]
1,#微游山东# 早起到洪家楼教堂转转，远远挥挥手，要和济南说再见了~谢谢@新浪山东旅游 的热情款待，这次的#两湖达人山东行#玩的很嗨很尽兴！济南和我想像中真的很不一样，干净漂亮宛若江南，有机会还要再来~[爱你]。。。【太想看济南的雪景啦】。。。  @湖北旅游 我在这里:http://t.cn/z8AqqOx
1,回复@人人都是地行仙:还给我们tips! 赞![哈哈] //@人人都是地行仙:#郎廷精彩回忆#第一次入住香港朗豪酒店就被升级为套房。[嘻嘻]记得楼下是朗豪坊和旺角地铁站，逛街和去迪士尼乐园很方便。@vivipeng @琛琛宝贝91 @aimin1028 地址：http://t.cn/S7WyW5
1,回复@钝勾陈:我这只镜头是被无数人藐视的24-105，哈哈。 //@钝勾陈:好镜头~[good][哈哈]
1,@setsuna-? 我也吃到啦[哈哈]
1,三罚三中！杰克逊，你是加勒比海盗附体！[鼓掌]
1,#阳光灿烂的日子，来玉林建达店庆祝一下吧#现在莅临玉林烤鸭建达店，会员任意消费即享王牌烤鸭半价优惠，另享10%积分返还啦！[赞]会员生日还可获赠50元代金券……[礼物]多重好礼等着您，马上走起吧！[鼓掌]
1,回复@oururong:会动的会向你打招呼的珊瑚[嘻嘻] //@oururong:这里的珊瑚都是活的，凯恩斯的珊瑚我们看到的都是灰白的，死的
1,如果有人晓得我的烦恼，此刻一定也在。。。赖床[嘻嘻]
1,回复@杨勋923:[哈哈][哈哈][偷笑]@眠琴山房 @黄燎原 @张晓刚 @老虎张 @李冰Art @王易罡 @黑子张骏 @白东亮-小白 //@杨勋923:赞同周叔！支持多进球阿！[鼓掌][嘻嘻] //@周春芽:回复@杨勋923:我对这两个队都木有感情所以他们只要进攻我都支持嘿嘿多多进球[哈哈]
1,[哈哈][哈哈][带着微博去旅行][神马][浮云]
1,?想到是肯德?坐得?翁利。。。[哈哈]
1,祝培训顺利，欢迎下次光临雅阁集团成员酒店[嘻嘻]
1,CCTV9最近播的纪录片【味道中山】很不错，比春节期间的【味道】好太多了，看来潮汕 顺德 还要加上中山[嘻嘻] 我在:http://t.cn/8FTSXer
1,@水木锦堂铁板烧 2010年知道的这个品牌一直没去过，今儿来东大桥新店吃下。蛋挞巨好吃！芝士扇贝！@京城美食探店 说的真没错儿[爱你]原来没吃对地方，几经放弃了铁板和寿司，现在又重拾兴趣。肉类也很鲜嫩。第4张照片是哥儿仨@贝勒orz 大胃王在加单，@靠谱吃货 大师在拍片儿 http://t.cn/z8ARpFN
1,回复@心灵的归宿80:哈哈哈，辛苦大家了！但是旅途中没有付出就没有快乐呀。[哈哈][哈哈] //@心灵的归宿80:就是欣赏美景的同时，这季节付出的就是黑晒、晒黑啊。[挤眼] //@九江旅游杜少华:此次“跟着课本游九江”活动反响巨大，微博微信转发量超多！[哈哈][哈哈]@江西风景独好
1,这是只有在纽约才会发生的[嘻嘻] @作家崔成浩
1,【我爱你的100种表达】各种说“I Love You”的经典镜头混剪，3分钟浓缩95部爱情电影。情人节快到了，大胆说爱吧！[爱你]http://t.cn/zY3Indt
1,#?记乳鸽专门店#小小一只乳鸽有多种烹调方法，今天先试试其中三样。红烧乳鸽 :甘香、入味，出品上乘。沙姜乳鸽:比起红烧，少了甘香，但多了沙姜的香味，而且皮爽肉滑。电饭煲油盐乳鸽饭:米饭很够味，居然有一点点糯米饭的口感，唯一的败笔是饭里的乳鸽没味道。看来以后不用专门去中山吃乳鸽了[嘻嘻]！
